x,y,z,E,machine_type,status,file_name
-3.5,6.5,6.0,-4.068097129231319,2,Done,PDI_x=-3.5_z=6.0_y=6.5.log
-3.5,6.5,6.0,-4.068097129231319,2,Done,PDI_x=-3.5_z=6.0_y=6.5.log
-3.5,6.0,8.0,-3.1752382507547736,1,Done,PDI_x=-3.5_z=8.0_y=6.0.log
-3.5,6.0,9.0,-2.5241024990100414,1,Done,PDI_x=-3.5_z=9.0_y=6.0.log
-3.5,6.5,4.0,-4.659475103253499,2,Done,PDI_x=-3.5_z=4.0_y=6.5.log
-3.5,6.5,4.0,-4.659475103253499,2,Done,PDI_x=-3.5_z=4.0_y=6.5.log
-3.5,6.0,7.0,-3.9631398066412657,1,Done,PDI_x=-3.5_z=7.0_y=6.0.log
-3.5,6.5,3.5,-4.817764500621706,2,Done,PDI_x=-3.5_z=3.5_y=6.5.log
-3.5,6.0,6.5,-4.351060213521123,1,Done,PDI_x=-3.5_z=6.5_y=6.0.log
-3.5,6.0,6.5,-4.351060213521123,1,Done,PDI_x=-3.5_z=6.5_y=6.0.log
-3.5,6.0,4.0,-5.469000654062256,2,Done,PDI_x=-3.5_z=4.0_y=6.0.log
-3.5,6.0,5.0,-5.070801633177325,2,Done,PDI_x=-3.5_z=5.0_y=6.0.log
-3.5,6.0,5.0,-5.070801633177325,2,Done,PDI_x=-3.5_z=5.0_y=6.0.log
-3.5,6.0,6.0,-4.678896537749097,1,Done,PDI_x=-3.5_z=6.0_y=6.0.log
-3.5,5.5,9.0,-2.87554574967362,1,Done,PDI_x=-3.5_z=9.0_y=5.5.log
-3.5,5.5,8.0,-3.565091388532892,1,Done,PDI_x=-3.5_z=8.0_y=5.5.log
-3.5,5.5,8.0,-3.565091388532892,2,Done,PDI_x=-3.5_z=8.0_y=5.5.log
-3.5,5.5,7.0,-4.48866060632281,2,Done,PDI_x=-3.5_z=7.0_y=5.5.log
-3.5,6.0,4.5,-5.234933148836717,2,Done,PDI_x=-3.5_z=4.5_y=6.0.log
-3.5,6.0,4.5,-5.234933148836717,1,Done,PDI_x=-3.5_z=4.5_y=6.0.log
-3.5,6.0,5.5,-4.911250940756872,1,Done,PDI_x=-3.5_z=5.5_y=6.0.log
-3.5,5.5,7.5,-4.014099893858656,1,Done,PDI_x=-3.5_z=7.5_y=5.5.log
-3.5,5.5,7.5,-4.014099893858656,2,Done,PDI_x=-3.5_z=7.5_y=5.5.log
-3.5,5.5,8.5,-3.1774659110233188,2,Done,PDI_x=-3.5_z=8.5_y=5.5.log
-3.5,6.0,3.5,-5.768636679043993,2,Done,PDI_x=-3.5_z=3.5_y=6.0.log
-3.5,5.5,6.5,-4.954699732828885,1,Done,PDI_x=-3.5_z=6.5_y=5.5.log
